Variable,Mean,STD,p-value
Var126,54.6119698680292,111.08547544018352,0.5108552322500914
Var127,37.96927561335767,121.29879842854905,0.551114177055311
Var128,580.2670063474453,1031.8330163691842,0.7773814909589144
Var129,13.783977936072992,131.98112585242612,0.6240426672230732
Var130,6.699996995474452,31.774808260969163,0.664801172527564
Var131,28.050280245547444,107.0476947292208,0.5428031249607026
Var132,110.23439297773723,321.99882297265066,0.7968912346595558
Var133,146.28992057854015,406.2137357548375,0.38577038342932896
Var134,110.20866332540146,261.07465171667826,0.8775245021817809
Var135,0.12506082724817522,0.046765217962836184,0.4571788498401774
Var136,4.0001216496350365,1.432452031094781,0.8229837193064022
Var137,1.462226289540146,0.5334779243955995,0.4906876374548611
Var138,0.6192213905109488,0.24623088100544144,0.4345200287985276
Var139,0.2761557664233577,0.11955535391603823,0.45377874580049615
Var140,0.14276154622627737,0.06278382744379468,0.5647320628421741
Var141,0.07402673600729927,0.03806851837130119,0.18332967358865035
Var142,0.11417275547445256,0.05143336908836364,0.017036540699040547
Var143,4.120073029197081,1.5438735151625602,0.4695100573779619
Var144,1.3399634939197083,0.5275587524361611,0.8581328443601163
Var145,0.5478101885620438,0.23330766022380237,0.6022961485552836
Var146,0.23102190997810218,0.10345210601202384,0.21340860253069707
Var147,0.12208030048905108,0.05181146564248513,0.14548456084755904
Var148,0.06532845498540146,0.03371768370075223,0.5885439493105411
